Accident_Index,latitude,longitude
3.0,14.74560635,78.47087739
18.0,14.67274885,78.48561567
28.0,14.76917912,78.48281105
29.0,14.76713783,78.48775217
35.0,14.69047677,78.47719655
36.0,14.75576239,78.48284431
37.0,14.65934691,78.48314791
45.0,14.65886224,78.47752203
48.0,14.70004009,78.48020864
57.0,14.7668848,78.48648092
72.0,14.70929212,78.49362006
80.0,14.66685741,78.4917798
83.0,14.70195026,78.48455418
97.0,14.65677436,78.4715623
98.0,14.66076976,78.47488499
102.0,14.74883981,78.46344518
103.0,14.73100256,78.47847421
113.0,14.66612627,78.46561537
119.0,14.71027655,78.46851877
125.0,14.70878444,78.47503602
130.0,14.66622816,78.48250575
136.0,14.65945932,78.4734492
149.0,14.79130625,78.49745637
154.0,14.80338568,78.48058843
177.0,14.65660403,78.46785122
179.0,14.65876791,78.49043054
183.0,14.70743115,78.49527903
192.0,14.71668444,78.47933433
195.0,14.68550389,78.46803998
200.0,14.66436759,78.47324674
202.0,14.75084927,78.49568104
207.0,14.66823316,78.4699991
210.0,14.70154968,78.49933886
211.0,14.72458462,78.46902561
218.0,14.77771509,78.49658361
219.0,14.68063512,78.48772909
222.0,14.77234364,78.48340251
237.0,14.77480917,78.49023676
240.0,14.76036765,78.49984809
244.0,14.73206479,78.49172454
248.0,14.68530086,78.49967402
249.0,14.72369516,78.49973569
250.0,14.80351026,78.48617375
264.0,14.67744995,78.47561149
265.0,14.66280003,78.46669406
267.0,14.68786293,78.49209238
271.0,14.78413513,78.49548664
276.0,14.78662026,78.48009176
279.0,14.73265712,78.47616014
280.0,14.67588605,78.49170806
281.0,14.73120154,78.47974987
291.0,14.79040413,78.48806092
292.0,14.7335497,78.47544959
304.0,14.72656662,78.48965821
305.0,14.66938889,78.46936852
312.0,14.77099798,78.4743251
314.0,14.70951832,78.47012294
319.0,14.79088419,78.47169251
320.0,14.66667239,78.47963182
324.0,14.71538941,78.46977434
326.0,14.7749603,78.49127783
333.0,14.75235812,78.49218747
337.0,14.7683047,78.48493829
339.0,14.76704076,78.48354668
347.0,14.71828871,78.46855776
352.0,14.67635323,78.48400842
355.0,14.68066512,78.47026242
358.0,14.74644541,78.47596283
362.0,14.66151845,78.46941866
371.0,14.70259881,78.47895
376.0,14.74629362,78.46463445
380.0,14.69804608,78.48554726
382.0,14.73077678,78.48192255
390.0,14.73613254,78.47876653
394.0,14.72040501,78.48211029
398.0,14.74720643,78.46301691
400.0,14.75930861,78.46704417
404.0,14.68614189,78.48220986
419.0,14.75706621,78.46697367
423.0,14.72608423,78.48505126
426.0,14.72987882,78.47072823
429.0,14.69749682,78.49125392
430.0,14.70053854,78.46883038
431.0,14.72609045,78.47601286
433.0,14.77668987,78.4663422
435.0,14.74312333,78.47385387
436.0,14.73622384,78.46305644
440.0,14.68513945,78.49315304
441.0,14.65919673,78.48506448
455.0,14.79176727,78.47536095
459.0,14.66565288,78.47667376
466.0,14.76013263,78.49287921
467.0,14.72713344,78.4813579
468.0,14.74759801,78.46616176
472.0,14.68705366,78.49115896
475.0,14.65894818,78.48344439
476.0,14.70631967,78.49949279
477.0,14.7615438,78.49013387
478.0,14.68238373,78.48131639
481.0,14.6996605,78.46495284
486.0,14.80095253,78.49036282
490.0,14.78019303,78.47041408
499.0,14.6678057,78.47623416
501.0,14.76507334,78.48305977
512.0,14.66230405,78.48905384
516.0,14.77239026,78.49789406
521.0,14.68100996,78.46333771
524.0,14.79614792,78.49698296
525.0,14.67054068,78.49675922
526.0,14.73928909,78.49761819
528.0,14.77539231,78.46913957
532.0,14.80105514,78.49037725
534.0,14.75200724,78.46376752
535.0,14.76237952,78.48590059
537.0,14.72609435,78.49891083
550.0,14.7147547,78.4782755
553.0,14.79069376,78.48965276
557.0,14.72627341,78.47319311
573.0,14.79828558,78.47883421
574.0,14.66180422,78.49058638
575.0,14.71781157,78.49543944
588.0,14.71809761,78.48758022
589.0,14.74927634,78.48675863
600.0,14.77135752,78.49560538
601.0,14.69436257,78.48112066
602.0,14.79881572,78.48295543
604.0,14.7067231,78.49775982
608.0,14.72458754,78.49765069
609.0,14.65815197,78.49671003
610.0,14.79671477,78.4629791
615.0,14.68349365,78.47831102
616.0,14.72211686,78.48421104
618.0,14.68583555,78.47360066
619.0,14.77182868,78.4900593
620.0,14.73139017,78.4871846
621.0,14.79194865,78.46588685
622.0,14.75778641,78.47268584
624.0,14.76530421,78.49257946
629.0,14.7311196,78.46717931
631.0,14.65964043,78.4907447
633.0,14.68651496,78.47718287
634.0,14.74654005,78.48884711
638.0,14.79262228,78.48142709
641.0,14.71057322,78.4946614
646.0,14.73738805,78.47746472
649.0,14.73812699,78.48257773
652.0,14.70675255,78.48538339
656.0,14.71643165,78.46493143
658.0,14.78062945,78.46993459
659.0,14.66871617,78.47550379
663.0,14.69346451,78.49329067
673.0,14.75831549,78.4631131
675.0,14.73864743,78.48123514
680.0,14.71697911,78.48450653
681.0,14.69463831,78.48076453
683.0,14.69281141,78.49934564
686.0,14.68806447,78.48798864
689.0,14.7503929,78.49607191
690.0,14.74020017,78.46493053
699.0,14.7083267,78.48739601
700.0,14.79253395,78.49907044
706.0,14.79361121,78.46939512
708.0,14.78584508,78.48338704
721.0,14.78471907,78.47068278
728.0,14.66567292,78.48850065
730.0,14.68624096,78.48895467
736.0,14.67823701,78.49994426
739.0,14.65957523,78.46336628
740.0,14.67661972,78.48061228
748.0,14.79902643,78.48482531
760.0,14.7577557,78.49973792
763.0,14.71422731,78.47649681
766.0,14.74334518,78.47169602
770.0,14.6743264,78.48611225
771.0,14.74510949,78.47057406
775.0,14.76443043,78.49275616
784.0,14.71989645,78.47897547
787.0,14.66969022,78.48349371
790.0,14.75124923,78.46939682
792.0,14.66385567,78.47848666
802.0,14.69296021,78.48503018
808.0,14.66390804,78.46666707
818.0,14.67929181,78.49753095
821.0,14.76305315,78.48938697
823.0,14.65949176,78.49251953
833.0,14.73314903,78.49273459
835.0,14.78327551,78.46822145
845.0,14.66707582,78.49721907
858.0,14.80254117,78.48300099
864.0,14.7576191,78.46680009
866.0,14.73744548,78.47947198
867.0,14.67602407,78.4854993
869.0,14.72368583,78.49225847
875.0,14.68288463,78.48877285
878.0,14.6829527,78.48119567
880.0,14.71586552,78.47144518
884.0,14.72024776,78.4944526
886.0,14.6818279,78.49459181
894.0,14.78120299,78.46548973
907.0,14.70212948,78.48031229
908.0,14.70841191,78.48460162
910.0,14.70727257,78.46333383
914.0,14.78829459,78.48101009
918.0,14.69016136,78.46497986
921.0,14.75732563,78.481781
